team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Iran,47.96666666666667,35.233333333333334,45.8,43.63333333333333,41.1,37.2,46.63333333333333,48.1,49.56666666666666,46.63333333333333,43.333333333333336,43.4,44.13333333333333,43.93333333333334,43.96666666666667,42.93333333333334,37.8,39.3,43.06666666666666,50.96666666666667,43.96666666666667,,70.33333333333334,49.03333333333333,47.266666666666666,43.23333333333333,40.9,45.4,35.06666666666667,37.06666666666666,43.53333333333333,49.0,41.266666666666666,47.53333333333333,68.4,48.73333333333333,42.36666666666667,45.1,36.266666666666666,65.60000000000001,44.36666666666667,41.833333333333336,40.93333333333333,44.93333333333333,46.03333333333333,43.53333333333333,43.7,51.13333333333333
Iraq,46.93333333333333,24.0,44.7,44.2,33.233333333333334,39.6,38.13333333333333,48.3,50.1,34.300000000000004,32.4,43.66666666666666,47.266666666666666,48.3,44.66666666666666,40.03333333333333,32.33333333333333,29.23333333333333,32.5,49.86666666666667,43.6,70.33333333333334,,39.3,33.666666666666664,60.4,33.6,39.1,22.666666666666664,40.16666666666666,35.099999999999994,39.06666666666666,39.96666666666667,36.66666666666666,36.56666666666666,68.0,36.7,39.53333333333333,41.7,41.93333333333334,31.1,39.23333333333333,27.43333333333333,42.56666666666667,37.6,40.73333333333333,37.9,39.03333333333333
Ivory Coast,54.16666666666666,27.33333333333333,47.2,47.96666666666667,34.63333333333333,40.66666666666666,43.16666666666666,50.7,45.766666666666666,39.33333333333333,35.56666666666667,37.333333333333336,43.3,38.766666666666666,49.43333333333334,43.266666666666666,35.6,33.46666666666667,35.733333333333334,49.9,37.0,49.03333333333333,39.3,,44.63333333333333,41.2,42.0,43.13333333333333,29.3,41.56666666666667,42.06666666666667,50.13333333333333,46.833333333333336,44.73333333333333,43.43333333333334,45.46666666666667,46.46666666666667,46.8,45.83333333333333,44.1,34.766666666666666,46.96666666666667,37.0,51.2,43.5,45.83333333333333,44.06666666666666,42.93333333333334
Japan,47.2,32.7,46.3,40.46666666666667,47.266666666666666,37.8,59.6,45.46666666666667,46.13333333333333,51.23333333333333,48.7,36.833333333333336,38.766666666666666,40.86666666666667,38.333333333333336,41.7,40.1,46.13333333333333,46.16666666666666,47.16666666666667,39.7,47.266666666666666,33.666666666666664,44.63333333333333,,38.83333333333333,47.03333333333333,46.36666666666667,35.266666666666666,42.7,44.46666666666667,49.2,48.3,45.5,46.0,55.7,40.43333333333333,46.33333333333333,31.4,51.9,39.86666666666667,36.6,41.7,39.13333333333333,42.73333333333333,48.1,46.1,47.766666666666666
Jordan,38.266666666666666,29.166666666666668,38.13333333333333,33.86666666666667,28.23333333333333,42.96666666666666,30.866666666666664,39.766666666666666,43.43333333333334,29.1,29.4,39.33333333333333,43.66666666666666,42.06666666666667,35.13333333333333,33.2,25.766666666666666,30.333333333333336,27.96666666666667,45.3,37.56666666666666,43.23333333333333,60.4,41.2,38.83333333333333,,37.333333333333336,39.46666666666667,21.3,43.03333333333333,35.6,41.23333333333333,38.06666666666666,33.46666666666667,38.53333333333334,43.03333333333333,37.8,38.46666666666667,42.3,38.56666666666666,32.36666666666667,37.86666666666667,27.633333333333333,41.833333333333336,37.266666666666666,39.66666666666666,42.86666666666667,32.53333333333333
Mexico,45.56666666666666,36.5,40.36666666666667,38.0,43.16666666666666,37.2,47.5,51.3,38.66666666666666,43.333333333333336,46.63333333333333,33.93333333333333,35.333333333333336,37.9,35.46666666666667,38.93333333333333,39.93333333333333,33.93333333333333,43.3,38.86666666666667,34.733333333333334,40.9,33.6,42.0,47.03333333333333,37.333333333333336,,40.833333333333336,33.86666666666667,33.96666666666667,39.46666666666667,81.3,41.5,45.63333333333333,35.06666666666667,40.0,37.23333333333333,45.5,32.03333333333334,50.13333333333333,38.2,30.666666666666664,40.833333333333336,38.56666666666666,41.2,65.03333333333333,44.8,34.43333333333333
Morocco,47.9,41.266666666666666,43.6,41.36666666666667,46.66666666666666,38.53333333333334,49.93333333333334,44.96666666666667,44.5,41.3,44.53333333333334,39.36666666666667,33.2,42.36666666666667,39.2,43.46666666666666,47.333333333333336,49.833333333333336,44.16666666666666,52.23333333333333,39.23333333333333,45.4,39.1,43.13333333333333,46.36666666666667,39.46666666666667,40.833333333333336,,43.266666666666666,32.46666666666667,34.733333333333334,37.06666666666666,29.1,47.73333333333333,29.86666666666667,32.5,31.3,49.43333333333334,42.66666666666667,45.16666666666666,41.833333333333336,26.266666666666666,38.46666666666667,46.13333333333333,38.6,47.4,43.93333333333334,36.53333333333333
Netherlands,31.366666666666664,35.93333333333334,30.333333333333336,28.5,40.86666666666667,24.7,40.96666666666667,30.966666666666665,26.4,33.53333333333333,37.46666666666666,26.266666666666666,19.666666666666664,26.266666666666666,26.366666666666667,26.5,44.2,44.9,35.099999999999994,32.6,24.23333333333333,35.06666666666667,22.666666666666664,29.3,35.266666666666666,21.3,33.86666666666667,43.266666666666666,,37.16666666666666,45.5,44.7,33.43333333333333,58.2,37.36666666666667,45.16666666666666,38.06666666666666,51.66666666666667,36.56666666666666,48.1,46.3,41.16666666666667,42.2,40.36666666666667,41.3,50.06666666666667,48.9,36.46666666666666
New Zealand,43.23333333333333,38.3,47.86666666666667,39.0,33.96666666666667,44.1,37.0,40.7,44.0,28.366666666666667,30.933333333333334,42.833333333333336,37.23333333333333,36.333333333333336,39.266666666666666,33.83333333333333,39.900000000000006,37.4,30.833333333333336,44.86666666666667,40.2,37.06666666666666,40.16666666666666,41.56666666666667,42.7,43.03333333333333,33.96666666666667,32.46666666666667,37.16666666666666,,42.86666666666667,50.43333333333333,42.1,37.96666666666667,44.766666666666666,50.2,50.33333333333333,43.13333333333333,44.333333333333336,43.93333333333334,22.03333333333333,48.43333333333334,29.3,48.7,46.400000000000006,39.96666666666667,39.3,35.06666666666667
Norway,45.7,24.5,44.43333333333334,44.266666666666666,33.2,33.93333333333333,36.16666666666667,43.96666666666667,40.3,37.43333333333334,34.300000000000004,36.23333333333333,34.53333333333333,34.53333333333333,43.333333333333336,41.53333333333333,31.1,29.76666666666667,39.1,41.53333333333333,32.06666666666666,43.53333333333333,35.099999999999994,42.06666666666667,44.46666666666667,35.6,39.46666666666667,34.733333333333334,45.5,42.86666666666667,,48.06666666666667,44.96666666666667,47.6,43.56666666666666,46.46666666666667,47.63333333333333,45.03333333333333,42.06666666666667,44.93333333333333,32.06666666666666,50.2,32.5,48.46666666666667,44.56666666666666,43.86666666666667,42.3,43.6
Panama,51.6,31.53333333333333,48.66666666666667,47.266666666666666,36.3,38.2,40.766666666666666,44.06666666666666,49.5,45.8,38.86666666666667,44.333333333333336,41.266666666666666,41.13333333333333,48.66666666666667,46.0,41.766666666666666,37.3,37.93333333333334,49.0,38.93333333333333,49.0,39.06666666666666,50.13333333333333,49.2,41.23333333333333,81.3,37.06666666666666,44.7,50.43333333333333,48.06666666666667,,43.23333333333333,42.13333333333333,44.6,42.5,43.53333333333333,43.36666666666667,40.400000000000006,43.36666666666667,38.66666666666666,40.86666666666667,34.166666666666664,43.1,41.766666666666666,64.86666666666666,39.7,39.13333333333333
Paraguay,46.2,49.03333333333333,42.333333333333336,42.833333333333336,28.8,39.93333333333333,52.16666666666666,44.63333333333333,43.3,50.06666666666667,31.23333333333333,39.5,44.6,41.73333333333333,61.83333333333333,41.86666666666667,33.33333333333333,32.83333333333333,29.633333333333333,45.53333333333333,40.63333333333333,41.266666666666666,39.96666666666667,46.833333333333336,48.3,38.06666666666666,41.5,29.1,33.43333333333333,42.1,44.96666666666667,43.23333333333333,,40.03333333333333,48.766666666666666,50.46666666666667,48.1,44.8,48.56666666666667,43.63333333333333,41.8,48.333333333333336,35.5,49.46666666666666,41.53333333333333,46.73333333333333,55.43333333333334,47.4
